material,grade,subject,category,subcategory
Al-Qur'an juz 7 dan 8,6,ALIM,Baca-Tulis,Baca huruf Al-Quran
Tajwid: Memperaktikkan tajwid yang sudah dipelajari dalam bacaan Al-Qur'an juz 7 dan 8,6,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Al-Qur'an juz 9, 10, dan 11",6,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Tajwid: Memperaktikkan tajwid yang sudah dipelajari dalam bacaan Al-Qur'an juz 9, 10, dan 11",6,ALIM,Baca-Tulis,Baca huruf Al-Quran
Terampil menulis Arab,6,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Terampil menulis makna pegon,6,ALIM,Baca-Tulis,Tulis huruf Al-Quran
Menjaga hafalan surat An-Naas s.d. Al-Balaad,6,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Fajr,6,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Ghaasyiyah,6,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-A’laa,6,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Ath-Thaariq,6,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat-surat pilihan (tiga ayat terakhir surat Al-Hasyr),6,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menerampilkan hafalan doa pada jenjang sebelumnya,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa perlindungan dan penganiayaan,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika takut pada orang kafir,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika bertempat di tempat yang baru,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa ketika mimpi baik dan jelek,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa minta surga firdaus,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa pengayoman,6,ALIM,Hafalan,Hafalan doa-doa harian
Doa maskumambang sapu jagad,6,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,6,ALIM,Hafalan,Dalil
Tri Sukses Generasi Penerus,6,ALIM,Hafalan,Dalil
Enam Thobiat Luhur Jamaah,6,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,6,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",6,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Qur'an Hadits Jamaah,6,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",6,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,6,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,6,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,6,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,6,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,6,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",6,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",6,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,6,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,6,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,6,ALIM,Keilmuan,Dasar Keagamaan
Aurot,6,ALIM,Keilmuan,Dasar Keagamaan
