material,grade,subject,category,subcategory
"Al-Quran juz 18, 19, 20, 21, 22, dan 23",8,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum mad dan pembagiannya (mad ThobiI, mad Wajib Muttashil, mad Jaiz Munfashil, mad Lazim Mutzaqqol Kilmi, mad Lazim Mukhoffaf Kilmy, mad Layin, mad Aridh Lissukun, mad Shilah Qoshirah, mad Shilah Thowilah, mad Iwadl, mad Badal, mad Lazim Harfy Musyabba, mad Lazim Harfy Mukhoffaf, mad Tamkin, mad Farqy)",8,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum Ro (tebal/Mufakhomah, tipis/Muroqqoqoh, boleh tebal atau tipis)",8,ALIM,Baca-Tulis,Baca huruf Al-Quran
"Hukum pembagian waqof (Tam, Kafy, Hasan, Qobih)",8,ALIM,Baca-Tulis,Baca huruf Al-Quran
Hukum Qolqolah (Kubro dan Shughro),8,ALIM,Baca-Tulis,Baca huruf Al-Quran
Menjaga hafalan surat An-Naas s.d. Al-Insyiqoq,8,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat Al-Muthaffifiin,8,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Surat at-Taqwir,8,ALIM,Hafalan,Hafalan surat-surat Al-Quran
"Surat-surat pilihan (ayat Kursiy, tiga ayat terakhir surat Al-Baqoroh)",8,ALIM,Hafalan,Hafalan surat-surat Al-Quran
Menjaga dan mempraktikkan hafalan doa-doa harian yang telah dihafal,8,ALIM,Hafalan,Hafalan doa-doa harian
Menampilkan hafalan dalil pada jenjang sebelumnya,8,ALIM,Hafalan,Dalil
Lima Syarat Kerukunan,8,ALIM,Hafalan,Dalil
"Empat Maqodirulloh (qodar nikmat, qodar cobaan, qodar musibah, qodar salah)",8,ALIM,Hafalan,Dalil
Dasar-dasar aqidah,8,ALIM,Keilmuan,Dasar Keagamaan
"Rukun iman, rukun islam dan ihsan",8,ALIM,Keilmuan,Dasar Keagamaan
Pengertian Quran Hadits Jamaah,8,ALIM,Keilmuan,Dasar Keagamaan
"Ilmu manqul, musnad, muttashil",8,ALIM,Keilmuan,Dasar Keagamaan
Kemurnian ibadah,8,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan wajibnya taat dan haromnya maksiat,8,ALIM,Keilmuan,Dasar Keagamaan
Pengetahuan hukum halAl-harom,8,ALIM,Keilmuan,Dasar Keagamaan
Thoharoh dan sholat,8,ALIM,Keilmuan,Dasar Keagamaan
Mandi junub,8,ALIM,Keilmuan,Dasar Keagamaan
"Hukum haid, mani, madzi, dan wadhi",8,ALIM,Keilmuan,Dasar Keagamaan
"Sholat sunnah: Rowatib, dluha, tahajjud, tasbih, hajat, dan istikhoroh",8,ALIM,Keilmuan,Dasar Keagamaan
Puasa Romadhon,8,ALIM,Keilmuan,Dasar Keagamaan
Kefadlolan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,8,ALIM,Keilmuan,Dasar Keagamaan
Puasa sunah,8,ALIM,Keilmuan,Dasar Keagamaan
Hukum mahrom,8,ALIM,Keilmuan,Dasar Keagamaan
Aurot,8,ALIM,Keilmuan,Dasar Keagamaan
462,8,ALIM,Al-Quran,Juz 24
463,8,ALIM,Al-Quran,Juz 24
464,8,ALIM,Al-Quran,Juz 24
465,8,ALIM,Al-Quran,Juz 24
466,8,ALIM,Al-Quran,Juz 24
467,8,ALIM,Al-Quran,Juz 24
468,8,ALIM,Al-Quran,Juz 24
469,8,ALIM,Al-Quran,Juz 24
470,8,ALIM,Al-Quran,Juz 24
471,8,ALIM,Al-Quran,Juz 24
472,8,ALIM,Al-Quran,Juz 24
473,8,ALIM,Al-Quran,Juz 24
474,8,ALIM,Al-Quran,Juz 24
475,8,ALIM,Al-Quran,Juz 24
476,8,ALIM,Al-Quran,Juz 24
477,8,ALIM,Al-Quran,Juz 24
478,8,ALIM,Al-Quran,Juz 24
479,8,ALIM,Al-Quran,Juz 24
480,8,ALIM,Al-Quran,Juz 24
481,8,ALIM,Al-Quran,Juz 24
482,8,ALIM,Al-Quran,Juz 25
483,8,ALIM,Al-Quran,Juz 25
484,8,ALIM,Al-Quran,Juz 25
485,8,ALIM,Al-Quran,Juz 25
486,8,ALIM,Al-Quran,Juz 25
487,8,ALIM,Al-Quran,Juz 25
488,8,ALIM,Al-Quran,Juz 25
489,8,ALIM,Al-Quran,Juz 25
490,8,ALIM,Al-Quran,Juz 25
491,8,ALIM,Al-Quran,Juz 25
492,8,ALIM,Al-Quran,Juz 25
493,8,ALIM,Al-Quran,Juz 25
494,8,ALIM,Al-Quran,Juz 25
495,8,ALIM,Al-Quran,Juz 25
496,8,ALIM,Al-Quran,Juz 25
497,8,ALIM,Al-Quran,Juz 25
498,8,ALIM,Al-Quran,Juz 25
499,8,ALIM,Al-Quran,Juz 25
500,8,ALIM,Al-Quran,Juz 25
501,8,ALIM,Al-Quran,Juz 25
502,8,ALIM,Al-Quran,Juz 26
503,8,ALIM,Al-Quran,Juz 26
504,8,ALIM,Al-Quran,Juz 26
505,8,ALIM,Al-Quran,Juz 26
506,8,ALIM,Al-Quran,Juz 26
507,8,ALIM,Al-Quran,Juz 26
508,8,ALIM,Al-Quran,Juz 26
509,8,ALIM,Al-Quran,Juz 26
510,8,ALIM,Al-Quran,Juz 26
511,8,ALIM,Al-Quran,Juz 26
512,8,ALIM,Al-Quran,Juz 26
513,8,ALIM,Al-Quran,Juz 26
514,8,ALIM,Al-Quran,Juz 26
515,8,ALIM,Al-Quran,Juz 26
516,8,ALIM,Al-Quran,Juz 26
517,8,ALIM,Al-Quran,Juz 26
518,8,ALIM,Al-Quran,Juz 26
519,8,ALIM,Al-Quran,Juz 26
520,8,ALIM,Al-Quran,Juz 26
521,8,ALIM,Al-Quran,Juz 26
1,8,ALIM,Hadits,Kitabussholatinnawafil
2,8,ALIM,Hadits,Kitabussholatinnawafil
3,8,ALIM,Hadits,Kitabussholatinnawafil
4,8,ALIM,Hadits,Kitabussholatinnawafil
5,8,ALIM,Hadits,Kitabussholatinnawafil
6,8,ALIM,Hadits,Kitabussholatinnawafil
7,8,ALIM,Hadits,Kitabussholatinnawafil
8,8,ALIM,Hadits,Kitabussholatinnawafil
9,8,ALIM,Hadits,Kitabussholatinnawafil
10,8,ALIM,Hadits,Kitabussholatinnawafil
11,8,ALIM,Hadits,Kitabussholatinnawafil
12,8,ALIM,Hadits,Kitabussholatinnawafil
13,8,ALIM,Hadits,Kitabussholatinnawafil
14,8,ALIM,Hadits,Kitabussholatinnawafil
15,8,ALIM,Hadits,Kitabussholatinnawafil
16,8,ALIM,Hadits,Kitabussholatinnawafil
17,8,ALIM,Hadits,Kitabussholatinnawafil
18,8,ALIM,Hadits,Kitabussholatinnawafil
19,8,ALIM,Hadits,Kitabussholatinnawafil
20,8,ALIM,Hadits,Kitabussholatinnawafil
21,8,ALIM,Hadits,Kitabussholatinnawafil
22,8,ALIM,Hadits,Kitabussholatinnawafil
23,8,ALIM,Hadits,Kitabussholatinnawafil
24,8,ALIM,Hadits,Kitabussholatinnawafil
25,8,ALIM,Hadits,Kitabussholatinnawafil
26,8,ALIM,Hadits,Kitabussholatinnawafil
27,8,ALIM,Hadits,Kitabussholatinnawafil
28,8,ALIM,Hadits,Kitabussholatinnawafil
29,8,ALIM,Hadits,Kitabussholatinnawafil
